,Source,Sequence,Tweet,Date,Compound,Positive,Neutral,Negative
11,CNN,12,"Canada won't be pushed around by the US, writes Samantha Vinograd for @CNNOpinion https://t.co/MQuRNVb1px https://t.co/GDd5RGzSID",Mon Jul 02 00:45:04 +0000 2018,0.0,0.0,1.0,0.0
12,CNN,13,Is #Hawaii really the paradise most people think it is? @WKamauBell exposes a side to our beautiful 50th state that… https://t.co/uBBXk3fxwh,Mon Jul 02 00:37:12 +0000 2018,0.835,0.312,0.632,0.056
13,CNN,14,Shooting won't deter Capital Gazette journalists https://t.co/TFTLGlA5Av https://t.co/jovYbARv2i,Mon Jul 02 00:30:08 +0000 2018,0.0,0.0,1.0,0.0
14,CNN,15,"""Abolish ICE"" isn't about open borders, writes Dean Obeidallah for @CNNOpinion https://t.co/Wy1UpjGLeX https://t.co/7uXE4JXq8t",Mon Jul 02 00:15:05 +0000 2018,0.0,0.0,1.0,0.0
15,CNN,16,"Republican Sen. Tim Scott says conversations he and President Trump have had about race are ""painful"" and ""uncomfor… https://t.co/pdN3f9fXwW",Sun Jul 01 23:45:00 +0000 2018,0.0,0.0,1.0,0.0
16,CNN,17,Sen. Tim Scott says he plans to recommend Rep. Trey Gowdy for Supreme Court https://t.co/eUCsVQqXq7 https://t.co/9ZZ0jMp7jy,Sun Jul 01 23:30:00 +0000 2018,0.7269,0.303,0.697,0.0
17,CNN,18,Is this the most ingenious way to farm fish? See what native Hawaiians can teach the world about sustainability on… https://t.co/60jhFVaO4l,Sun Jul 01 23:22:19 +0000 2018,0.0,0.0,1.0,0.0
18,CNN,19,"White House national security adviser John Bolton says there's a 1-year plan for North Korea to denuclearize, but s… https://t.co/s5uK1gyBwC",Sun Jul 01 23:00:01 +0000 2018,0.1779,0.086,0.914,0.0
19,CNN,20,"Here's a look at this week's Sunday morning shows, where White House officials and members of Congress addressed so… https://t.co/natvEkb8UX",Sun Jul 01 22:45:00 +0000 2018,0.0,0.0,1.0,0.0
20,CNN,21,"At least one American tourist is dead and several others are injured after a tour boat exploded in the Bahamas, acc… https://t.co/N3MtFzLHqu",Sun Jul 01 22:37:00 +0000 2018,-0.7906,0.0,0.731,0.269
21,CNN,22,"Trump-Putin summit makes US a ""less reliable"" partner to its Western allies, former UK official says… https://t.co/WLQg8PvghR",Sun Jul 01 22:30:00 +0000 2018,0.0,0.0,1.0,0.0
